ID,Timestamp,Language,AtLeastOneOpenResponse,COVIDStatus5,COVIDStatus4,COVIDStatus3,COVIDStatus2,COVIDStatus1,COVIDStatus0,Isolation,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,DP1,DP2,DP3,DP4,DP5,Erg1,Erg2,Erg3,Erg4,Erg5,Erg6,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9,OS10,OS11,OS12,OS13,OS14,OS15,OS16,OS17,OS18,OS19,OS20,OS21,OS22,WHO5B1,WHO5B2,WHO5B3,WHO5B4,WHO5B5,WHO5S1,WHO5S2,WHO5S3,WHO5S4,WHO5S5,HPQB1,HPQB2,HPQB3,HPQB4,HPQB6,HPQB5,HPQB7,HPQB8,HPQS1,HPQS2,HPQS3,HPQS4,HPQS6,HPQS5,HPQS7,HPQS8,PerformanceOthers,PerB1item,PerS1item,RolesIncludeDeveloper,YearsOfExperience,YearsOfWorkFromHomeExperience,Fulltime,Coinhabitants,Children,Age,Gender,Country,Education,OrganizationSize,Disabilities
,2020-04-12 21:15:37,Arabic,1,1,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,1,0,0,4,2,3,4,2,1,1,2,2,2,2,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,7,8,5,,5,5,0,5,3,8,Male,,1,1,0
,2020-04-12 04:29:14,Arabic,1,0,0,0,0,0,1,2,1,0,1,1,1,-1,0,1,1,0,3,2,4,3,4,-1,-1,2,2,1,1,yes,yes,yes,yes,yes,yes,yes,helpful,yes,helpful,yes,yes,yes,yes,yes,yes,helpful,yes,yes,yes,yes,yes,5,5,5,5,5,2,2,2,2,3,3,0,0,0,0,0,2,3,4,0,1,2,1,2,3,1,9,10,7,0,7,0,1,4,1,4,Male,Armenia,2,3,0
,2020-04-07 20:33:19,Arabic,1,0,0,0,0,0,1,3,1,0,0,1,1,1,1,0,1,,2,1,1,4,3,2,2,2,2,1,2,,helpful,yes,,yes,yes,helpful,helpful,yes,,yes,yes,yes,,,,,yes,yes,,yes,,4,4,4,4,5,3,4,3,3,4,4,1,1,1,1,1,1,3,4,1,1,,1,1,2,3,8,8,10,0,8,2,1,6,1,3,Female,Saudi Arabia,3,4,0
,2020-04-12 17:22:03,Arabic,1,0,0,0,1,0,0,2,-1,-1,-1,-1,-1,-1,0,-1,1,0,4,3,4,4,4,1,3,3,2,2,2,yes,yes,yes,helpful,yes,yes,yes,,yes,,yes,yes,,helpful,helpful,helpful,yes,yes,yes,yes,yes,yes,5,5,5,5,5,5,5,5,5,5,2,1,3,1,0,0,0,1,2,1,1,1,0,1,0,2,6,6,8,1,5,3,1,2,0,4,Male,United Kingdom,2,6,0
,2020-04-09 19:12:32,Arabic,1,0,0,0,0,0,1,2,0,-1,1,0,-1,-1,0,1,1,0,4,-99,2,4,4,2,2,3,2,3,3,,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,,,helpful,helpful,yes,yes,yes,yes,yes,4,3,4,3,1,4,4,2,2,1,3,1,1,1,1,1,0,0,3,1,0,1,1,0,0,2,7,8,9,0,16,1,1,4,2,5,Male,Egypt,2,4,0
,2020-04-10 23:11:46,Arabic,1,0,0,0,0,0,1,3,1,1,1,0,-1,-1,1,1,1,0,4,4,4,4,4,3,3,3,3,3,3,both,helpful,helpful,helpful,yes,yes,yes,yes,yes,helpful,yes,helpful,helpful,helpful,helpful,helpful,yes,yes,yes,yes,helpful,yes,5,5,4,5,5,4,4,4,4,4,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,1,9,9,7,0,6,0,1,2,0,4,Female,Saudi Arabia,2,2,0
,2020-04-12 17:22:51,Arabic,1,0,0,0,0,1,0,2,0,-1,1,-1,0,-1,0,0,1,0,3,1,4,4,3,2,2,2,3,3,2,yes,,,,,,,,yes,,,,,,,,,yes,,,,yes,3,2,2,3,2,4,4,3,3,4,3,1,0,1,1,2,1,3,3,0,1,0,1,1,0,3,8,7,9,0,5,5,1,4,2,5,Female,Tunisia,3,2,0
,2020-04-13 23:40:00,Arabic,1,0,0,0,0,0,1,2,0,-1,1,-1,0,-1,-1,-1,1,,-99,0,1,-99,2,1,3,2,1,-2,1,yes,helpful,helpful,helpful,yes,helpful,helpful,helpful,yes,helpful,yes,,,helpful,helpful,helpful,helpful,yes,helpful,yes,,helpful,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1,2,1,3,2,2,3,3,2,3,3,0,5,8,4,1,5,3,1,0,0,3,Male,Tunisia,3,2,0
,2020-04-13 19:15:27,Arabic,1,0,0,0,0,0,1,3,1,1,1,1,0,0,1,-1,1,3,3,3,-99,4,1,2,2,2,2,2,2,helpful,helpful,yes,helpful,yes,yes,yes,yes,yes,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,helpful,yes,helpful,yes,yes,2,2,4,4,3,4,4,4,3,4,2,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,7,8,7,1,1,0,1,1,0,4,Female,Tunisia,3,2,0
,2020-04-13 14:40:04,Arabic,1,0,0,0,0,0,1,2,1,1,1,0,-1,-1,1,1,1,0,4,4,4,4,4,1,1,3,3,3,1,yes,yes,yes,,yes,yes,yes,helpful,yes,,yes,yes,yes,,,,,yes,yes,yes,yes,yes,4,4,4,4,5,4,2,2,4,2,3,0,0,0,0,1,2,3,4,0,1,0,1,1,1,2,10,10,10,0,12,0.2,1,3,1,5,Female,Tunisia,4,1,0
,2020-04-07 22:28:28,Arabic,1,0,0,0,0,0,1,2,0,0,1,0,0,-1,1,1,1,2,4,4,2,4,1,1,2,3,1,-3,2,,helpful,yes,helpful,yes,helpful,helpful,helpful,yes,,yes,helpful,,,,,,yes,yes,helpful,yes,yes,2,2,2,2,2,3,4,3,2,4,2,0,2,3,0,1,3,1,1,1,1,2,0,2,3,1,4,9,8,1,4,0,1,6,0,3,Female,Egypt,2,2,0
,2020-04-13 03:19:29,Arabic,1,0,0,0,0,0,1,3,1,0,1,1,1,0,-1,1,1,,4,1,4,4,4,2,3,3,3,3,3,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,helpful,helpful,yes,yes,helpful,helpful,helpful,yes,yes,yes,yes,yes,yes,4,3,4,3,4,5,5,5,5,5,4,1,1,1,1,1,1,2,2,1,1,1,2,2,1,3,5,8,10,1,5,1,1,3,1,4,Female,Algeria,1,3,0
,2020-04-08 02:01:12,Arabic,1,0,0,0,0,0,1,2,-1,-1,1,-1,-1,-1,-1,1,1,1,4,3,4,4,4,2,3,3,3,3,3,,,yes,,yes,yes,yes,,yes,,helpful,,,,yes,,helpful,yes,yes,yes,helpful,,3,3,3,3,3,3,4,2,2,2,3,1,2,1,1,1,1,2,2,1,1,1,1,1,0,2,8,9,9,0,12,1,1,5,2,5,Male,Saudi Arabia,2,4,0
,2020-04-10 10:41:32,Arabic,1,0,0,0,0,0,1,3,1,1,1,0,1,0,-1,-1,1,2,3,2,-99,4,4,3,3,3,3,3,3,yes,helpful,yes,helpful,yes,yes,yes,yes,yes,,yes,helpful,yes,,helpful,,helpful,yes,yes,,yes,yes,2,2,2,2,2,3,1,4,3,2,3,2,3,2,2,3,0,2,4,0,0,0,0,0,0,3,7,8,10,0,3,0,1,7,0,4,Female,Saudi Arabia,3,4,0
,2020-04-08 19:55:23,Arabic,1,0,0,1,0,0,0,2,1,1,1,0,1,-1,1,-1,1,2,4,0,4,4,4,3,3,3,3,-1,3,yes,yes,yes,helpful,yes,yes,yes,yes,yes,helpful,yes,yes,yes,helpful,yes,helpful,helpful,yes,yes,yes,yes,yes,3,2,2,3,5,4,4,5,4,3,3,1,4,1,1,1,1,1,3,1,2,1,1,1,1,2,10,8,10,0,5,0,1,0,0,5,Female,Germany,4,2,0
,2020-04-12 02:25:17,Arabic,1,0,0,0,0,0,1,3,-1,0,1,-1,-1,-1,-1,0,0,0,4,4,3,4,3,3,2,2,2,3,2,helpful,helpful,both,helpful,yes,helpful,yes,yes,yes,,yes,yes,yes,helpful,helpful,helpful,yes,yes,yes,yes,yes,both,5,5,5,5,5,3,1,4,2,0,4,0,2,0,0,2,0,3,2,3,3,2,2,0,2,2,6,9,7,0,2,1,0,8,0,2,Female,Libya,2,1,0
,2020-04-09 18:16:31,Arabic,1,0,0,0,0,1,0,2,0,-1,0,-1,-1,-1,-1,1,1,0,4,4,3,4,4,2,-2,3,3,3,3,both,,helpful,yes,yes,yes,yes,yes,helpful,helpful,helpful,,,,,,helpful,yes,helpful,helpful,yes,yes,5,4,4,4,4,5,4,4,4,4,3,0,0,0,0,1,1,2,3,1,1,1,1,1,1,2,9,10,8,1,25,25,1,10,2,8,Male,Saudi Arabia,4,4,0
,2020-04-11 17:51:06,Arabic,1,0,0,0,0,0,1,0,1,1,1,1,0,-1,0,0,1,0,4,4,4,4,4,3,3,1,1,1,2,yes,helpful,yes,yes,yes,yes,yes,yes,helpful,helpful,yes,yes,yes,helpful,helpful,helpful,yes,yes,yes,helpful,yes,helpful,3,2,3,3,5,2,4,3,2,3,3,0,1,2,1,1,3,2,3,1,1,1,1,1,2,2,7,9,8,0,15,0,1,7,3,6,Male,Oman,3,2,0
,2020-04-12 09:40:30,Arabic,1,0,0,0,0,0,1,3,1,-1,1,-1,-1,-1,-1,0,-1,5,-99,0,-99,4,2,3,,3,3,3,3,helpful,helpful,helpful,helpful,yes,yes,helpful,,helpful,,helpful,,helpful,helpful,,,helpful,helpful,helpful,helpful,,,4,3,3,2,3,3,3,3,3,3,3,1,2,1,1,3,0,2,3,0,3,0,1,1,0,2,8,10,10,1,3,0,1,4,0,3,Female,Algeria,3,4,0
,2020-04-13 08:39:20,Arabic,1,0,0,0,0,0,1,3,1,1,1,0,-1,0,1,1,1,0,4,-99,-99,4,4,1,1,1,1,1,1,yes,helpful,,helpful,yes,yes,yes,yes,yes,,helpful,yes,yes,helpful,helpful,helpful,helpful,yes,helpful,,helpful,helpful,3,4,3,4,4,3,4,3,3,4,3,1,4,0,1,1,2,3,3,1,4,1,1,1,1,3,7,8,8,1,2,0,1,5,0,3,Male,Tunisia,3,1,0
,2020-04-10 09:35:51,Arabic,1,0,0,0,0,0,1,2,-1,-1,-1,0,1,-1,1,-1,0,0,3,3,2,4,2,2,2,2,1,1,1,yes,yes,helpful,yes,yes,yes,yes,yes,helpful,helpful,yes,helpful,yes,yes,helpful,yes,helpful,yes,yes,helpful,yes,helpful,5,5,4,4,4,5,3,3,4,4,3,4,3,3,3,2,2,0,3,3,2,2,,3,2,-1,9,4,6,1,2,0,1,7,3,4,Male,Saudi Arabia,3,5,0
,2020-04-13 13:32:44,Arabic,1,1,0,0,0,0,0,3,1,-1,1,-1,-1,-1,-1,0,1,3,4,1,4,4,4,3,3,3,3,3,3,yes,yes,yes,yes,yes,yes,yes,yes,yes,helpful,helpful,helpful,helpful,helpful,yes,helpful,yes,yes,yes,helpful,yes,yes,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,8,8,7,1,5,4,1,3,1,5,Male,Morocco,4,2,0
,2020-04-12 19:30:35,Arabic,1,0,0,0,0,0,1,2,1,1,1,0,-1,-1,-1,1,1,0,2,0,2,4,0,-1,-2,2,2,-1,-1,helpful,helpful,helpful,helpful,yes,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,3,0,1,1,2,1,2,2,2,0,6,9,6,1,8,0,1,4,2,5,Male,Algeria,2,3,0
,2020-04-08 06:53:03,Arabic,1,0,0,0,0,0,1,2,0,-1,1,-1,-1,-1,-1,1,1,0,3,0,0,3,4,1,1,3,3,3,2,yes,helpful,yes,helpful,yes,yes,yes,yes,yes,yes,helpful,yes,helpful,helpful,helpful,helpful,yes,yes,yes,yes,helpful,yes,0,0,0,0,2,5,5,5,5,1,2,1,1,0,1,1,0,2,3,1,1,1,0,1,0,2,6,8,9,1,14,2,1,3,1,5,Male,Canada,3,4,0
,2020-04-09 23:10:11,Arabic,1,0,0,0,0,0,1,3,0,-1,0,-1,-1,-1,-1,1,1,0,3,0,0,4,3,-3,-1,3,1,-2,1,yes,,yes,,,yes,yes,,yes,,yes,,yes,,,yes,yes,yes,yes,,yes,yes,5,5,5,5,5,5,5,3,4,4,3,1,0,0,0,0,1,3,3,2,2,1,2,2,1,3,7,9,7,1,7,0,1,4,2,4,Female,Saudi Arabia,3,4,0
,2020-04-13 09:16:00,Arabic,1,0,0,0,0,0,1,3,0,-1,1,0,-1,-1,1,-1,1,0,2,2,0,3,0,1,1,2,1,2,2,yes,helpful,helpful,helpful,yes,helpful,helpful,helpful,yes,yes,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,4,3,2,2,3,4,5,5,5,3,3,1,1,2,1,2,0,0,2,1,1,1,1,1,0,0,7,5,5,1,3,0,1,5,2,3,Male,Morocco,2,2,1
,2020-04-11 21:17:58,Arabic,1,0,0,0,0,0,1,2,1,,,,1,,0,0,1,1,0,0,2,3,4,1,3,3,3,-2,2,yes,,,,,,yes,,yes,,,,yes,,,,,yes,yes,,,,1,1,1,1,4,1,1,1,1,1,3,0,1,1,1,1,0,3,3,0,1,2,1,1,1,3,,,,1,14,0,1,4,0,5,Female,Egypt,2,3,
,2020-04-08 18:28:22,Arabic,1,0,0,0,0,0,1,3,1,1,1,1,1,-1,1,1,1,0,3,3,3,4,3,3,3,3,3,3,3,yes,helpful,yes,helpful,yes,yes,helpful,yes,yes,,yes,,yes,,yes,helpful,,yes,yes,yes,yes,yes,3,4,3,4,3,2,4,3,4,2,2,1,2,1,1,2,2,1,2,1,3,1,2,2,3,2,5,9,9,1,12,0,1,2,0,4,Female,Sweden,3,2,0
,2020-04-08 19:50:02,Arabic,1,0,0,0,0,0,1,3,0,-1,1,-1,0,0,1,1,1,,3,3,2,4,4,-1,1,1,3,-1,-1,helpful,helpful,helpful,yes,both,helpful,helpful,helpful,yes,yes,yes,helpful,yes,helpful,helpful,helpful,yes,yes,yes,yes,yes,helpful,4,4,5,4,5,4,3,4,5,4,3,3,4,4,3,4,2,1,4,4,4,4,4,4,4,0,8,9,4,0,6,0,1,9,1,2,Female,Saudi Arabia,2,1,0
,2020-04-08 01:10:23,Arabic,1,0,0,0,0,0,1,2,1,1,1,1,-1,0,0,-1,0,0,3,3,2,4,4,-1,1,3,3,-2,1,yes,yes,yes,helpful,helpful,yes,helpful,helpful,helpful,yes,yes,,,,,,helpful,both,yes,helpful,helpful,yes,2,1,2,3,2,5,5,4,4,3,4,1,1,0,0,0,1,3,3,2,3,1,1,3,2,1,8,5,4,1,2,0,1,4,1,3,Female,Egypt,2,3,0
,2020-04-08 04:03:50,Arabic,1,0,0,0,0,0,1,2,0,0,1,-1,-1,-1,-1,1,0,,1,2,3,3,4,-2,1,1,2,-1,1,helpful,yes,yes,helpful,yes,,,yes,yes,,yes,,,,,,,yes,,,yes,yes,3,3,3,3,4,3,3,2,3,2,2,1,1,1,1,1,3,0,1,2,2,2,2,2,3,-1,8,7,5,1,1,0,0,8,2,2,Male,Oman,0,1,0
,2020-04-11 19:53:48,Arabic,1,0,0,0,0,0,1,3,0,-1,-1,0,1,0,1,-1,1,,4,4,4,4,4,3,2,2,2,-1,1,helpful,helpful,helpful,helpful,yes,yes,yes,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,7,10,7,0,3,1,1,8,0,3,Female,Saudi Arabia,2,4,0
,2020-04-07 22:21:41,Arabic,1,0,0,0,0,0,1,2,0,0,1,-1,1,-1,1,1,1,,3,2,3,4,2,3,3,2,2,1,2,,,,,yes,yes,yes,,yes,,yes,,yes,,,,yes,,yes,yes,yes,yes,4,4,3,4,2,5,5,5,4,2,3,1,1,1,1,2,0,2,3,1,0,0,1,0,0,3,7,8,9,1,8,0,1,7,0,4,Female,Saudi Arabia,2,2,0
,2020-04-07 23:30:24,Arabic,1,0,0,0,0,0,1,2,1,0,0,-1,-1,-1,-1,0,1,0,2,2,2,4,1,-2,-2,1,2,1,1,yes,,yes,,,,,yes,yes,,yes,yes,,,,,yes,yes,,,,,4,4,4,4,4,3,2,2,2,3,2,1,4,2,1,1,1,0,1,1,0,0,0,3,1,0,9,10,10,1,10,7,1,4,2,4,Male,Australia,3,,0
,2020-04-07 21:04:25,Arabic,0,0,0,0,0,0,1,3,1,1,1,-1,-1,-1,0,1,1,0,4,4,4,4,4,3,3,3,3,,3,yes,yes,helpful,helpful,yes,yes,yes,helpful,yes,helpful,yes,yes,yes,helpful,yes,helpful,yes,yes,yes,yes,yes,yes,5,5,4,5,5,2,3,2,3,2,4,1,4,4,4,4,4,2,3,1,3,4,2,3,4,3,8,10,8,1,15,3,1,2,1,3,Female,United Kingdom,4,4,0
,2020-04-07 21:28:31,Arabic,0,0,0,0,0,0,1,2,1,1,1,1,0,0,-1,0,1,,4,3,2,4,4,1,1,3,2,3,1,,,yes,helpful,yes,yes,yes,,yes,,yes,,yes,helpful,helpful,helpful,yes,yes,yes,,,,3,4,3,4,4,4,4,3,3,4,3,1,0,0,1,1,0,1,3,0,1,2,2,2,1,2,7,9,9,0,,,1,6,1,6,Female,Saudi Arabia,4,3,0
,2020-04-07 21:44:28,Arabic,0,0,0,0,0,0,1,2,0,1,1,1,1,1,0,1,1,1,1,0,3,4,3,-1,2,2,2,-2,2,helpful,helpful,helpful,helpful,yes,yes,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,4,5,4,4,4,1,2,2,3,2,4,1,2,1,1,1,1,2,2,0,1,1,1,1,2,0,6,8,5,1,10,0,1,7,1,5,Female,Saudi Arabia,2,4,0
,2020-04-07 22:23:28,Arabic,0,0,0,0,0,0,1,3,1,0,1,0,1,0,1,1,-1,0,3,0,0,4,-99,1,1,3,3,3,1,helpful,,yes,helpful,,,,,yes,,yes,,,,,helpful,,yes,yes,yes,yes,yes,3,1,3,0,3,2,3,3,5,0,2,1,3,3,1,3,0,0,3,1,2,2,1,3,,2,7,7,8,1,1,0,1,6,1,2,Female,Saudi Arabia,2,3,0
,2020-04-07 22:53:30,Arabic,0,0,0,0,0,0,1,2,1,1,1,0,-1,-1,1,0,1,2,4,4,4,4,4,1,-1,3,3,-1,2,,helpful,yes,helpful,,,,,helpful,yes,,helpful,,,,helpful,yes,,,helpful,helpful,,5,2,3,4,5,1,4,3,5,5,0,0,1,1,1,1,1,1,2,0,0,2,2,2,2,1,6,8,8,1,5,5,1,8,1,4,Male,Saudi Arabia,2,3,0
,2020-04-08 13:34:39,Arabic,0,0,0,0,0,0,1,2,0,-1,0,-1,0,-1,0,1,1,2,3,2,3,4,2,1,2,2,3,-1,2,yes,helpful,both,helpful,yes,yes,yes,helpful,yes,yes,yes,helpful,helpful,helpful,helpful,helpful,helpful,yes,yes,helpful,helpful,helpful,1,1,0,1,4,3,3,4,4,4,2,0,2,3,1,1,0,1,2,0,0,0,3,1,0,2,7,7,8,0,8,2,1,4,2,4,Male,Germany,3,5,0
,2020-04-08 14:06:11,Arabic,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,0,1,0,4,3,3,3,4,1,2,3,2,3,2,yes,helpful,,helpful,yes,yes,yes,helpful,yes,,yes,yes,yes,,,helpful,helpful,yes,yes,yes,helpful,helpful,3,3,3,2,3,3,3,3,2,1,2,1,1,1,2,2,1,1,1,2,3,2,2,3,2,0,7,8,5,1,11,0,1,2,0,4,Male,Austria,3,4,0
,2020-04-08 14:10:33,Arabic,0,0,0,0,0,1,0,2,1,1,1,0,1,-1,-1,0,1,,3,1,2,2,4,3,3,3,2,-1,2,,helpful,helpful,yes,helpful,helpful,helpful,helpful,yes,yes,,,,,,helpful,helpful,yes,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,9,,1,,,4,Female,Egypt,2,2,0
,2020-04-08 22:46:47,Arabic,0,0,0,0,0,0,1,2,0,0,0,-1,-1,-1,1,1,1,,4,1,4,4,4,1,3,3,1,3,1,helpful,yes,helpful,helpful,helpful,helpful,yes,helpful,yes,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,4,4,4,4,1,4,4,4,4,4,2,0,0,0,0,3,1,1,2,0,0,0,0,0,2,1,8,8,8,1,1,0,0,1,0,2,Male,Germany,3,3,0
,2020-04-09 11:18:51,Arabic,0,0,0,0,0,0,1,2,-1,-1,1,-1,1,0,0,1,0,,3,1,0,4,0,-3,3,2,2,-2,-1,helpful,helpful,helpful,helpful,yes,yes,helpful,helpful,yes,helpful,yes,yes,helpful,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,5,4,4,4,5,1,1,2,1,0,3,0,1,0,1,0,0,2,3,1,1,1,1,1,2,2,8,9,7,0,9,3,1,0,,4,Male,Germany,2,4,0
,2020-04-09 17:07:04,Arabic,0,0,0,0,0,0,1,3,1,1,1,0,-1,0,-1,0,1,,1,1,0,4,0,-2,3,3,3,1,1,helpful,helpful,helpful,helpful,yes,yes,helpful,yes,yes,helpful,yes,yes,yes,helpful,helpful,helpful,helpful,yes,helpful,,yes,yes,4,4,4,3,3,1,3,2,2,2,3,0,2,1,1,2,1,3,1,1,1,1,1,1,1,3,9,10,10,1,7,0,1,4,1,3,Female,Saudi Arabia,2,4,0
,2020-04-09 17:23:02,Arabic,0,0,0,0,0,1,0,3,1,0,1,0,0,-1,0,1,1,1,3,1,2,3,2,-1,1,1,2,1,1,helpful,helpful,helpful,,helpful,helpful,helpful,helpful,yes,,,yes,,helpful,helpful,,helpful,helpful,,helpful,helpful,helpful,4,3,3,4,4,2,3,2,3,2,1,1,2,2,2,2,3,0,2,2,2,2,2,3,3,0,8,8,6,0,,0,1,3,1,3,Female,Saudi Arabia,3,2,1
,2020-04-11 21:06:35,Arabic,0,0,0,0,0,0,1,2,,1,1,1,,,0,-1,1,,4,3,3,3,1,3,3,3,3,-1,2,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,yes,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,helpful,5,4,5,5,5,5,5,5,5,5,4,2,1,4,2,1,4,3,2,2,1,2,2,1,2,3,6,10,9,0,,,1,,,3,Female,Saudi Arabia,2,2,0
,2020-04-12 12:32:21,Arabic,0,0,0,0,0,0,1,2,1,1,1,0,-1,-1,-1,1,1,,2,2,4,4,-99,3,3,3,3,2,2,yes,helpful,yes,yes,yes,yes,yes,yes,yes,helpful,both,yes,yes,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,4,4,4,4,3,4,5,4,5,5,4,1,2,0,2,1,2,3,4,1,0,0,0,1,0,3,7,8,9,1,3,0,1,3,1,3,Male,Tunisia,3,2,0
,2020-04-12 13:56:25,Arabic,0,0,0,0,0,0,1,2,1,-1,1,-1,-1,-1,-1,-1,1,0,3,4,2,4,1,-1,1,2,2,-1,1,,,,,helpful,,helpful,,,yes,yes,,yes,,,,yes,yes,,,yes,yes,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,0,1,2,,,,,,,,,8,9,8,1,7,3,1,5,3,5,Male,Algeria,3,2,0
,2020-04-12 14:23:17,Arabic,0,0,0,0,0,0,1,2,1,1,1,1,0,0,1,1,1,0,2,0,1,0,0,2,1,2,3,2,2,yes,yes,helpful,yes,helpful,helpful,yes,helpful,helpful,both,yes,helpful,helpful,helpful,helpful,helpful,both,helpful,yes,yes,both,helpful,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,1,3,1,1,5,0,3,Male,Libya,2,1,0
,2020-04-12 16:13:17,Arabic,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,-1,1,1,3,2,2,3,2,1,1,2,2,1,-1,both,,yes,,,helpful,helpful,,helpful,,yes,helpful,,,,,helpful,yes,helpful,,,helpful,3,3,3,3,4,3,3,2,2,2,1,1,2,2,2,1,3,2,3,1,2,1,1,1,1,3,6,8,8,1,2,1,1,4,2,4,Female,Tunisia,3,2,0
,2020-04-12 19:07:12,Arabic,0,0,0,0,0,0,1,2,1,0,1,1,0,1,-1,0,1,1,3,1,,4,3,1,2,2,2,1,2,yes,,helpful,,yes,yes,helpful,,yes,,yes,,,,,helpful,yes,helpful,yes,yes,yes,yes,3,4,4,4,3,2,4,3,3,3,2,0,1,0,1,1,0,1,3,1,2,2,2,2,2,0,7,8,6,0,5,0,1,3,0,5,Female,Tunisia,3,2,0
,2020-04-12 19:07:36,Arabic,0,0,0,0,0,0,1,2,-1,-1,1,-1,-1,-1,-1,1,1,0,4,0,0,4,1,2,2,2,2,1,1,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,yes,yes,helpful,yes,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,yes,3,2,3,2,2,,2,3,3,3,3,1,2,3,3,3,3,0,2,2,2,2,2,2,3,1,8,8,7,1,2,0,1,4,0,2,Male,Lebanon,3,2,0
,2020-04-12 19:34:16,Arabic,0,0,0,0,0,0,1,3,0,0,0,-1,-1,-1,-1,1,1,0,-99,0,0,4,0,-1,-1,2,-1,-1,1,yes,helpful,yes,helpful,yes,yes,both,both,yes,,yes,helpful,yes,helpful,helpful,helpful,both,yes,,yes,helpful,yes,3,3,2,2,3,4,4,3,3,4,3,1,0,1,1,1,0,2,3,1,0,0,1,1,0,2,8,10,9,0,,,1,10,1,3,Female,Saudi Arabia,2,2,0
,2020-04-13 09:00:29,Arabic,0,0,0,0,0,0,1,2,0,0,1,-1,-1,-1,1,-1,1,0,4,2,3,4,2,-1,3,-1,-1,-1,-1,yes,,yes,yes,yes,helpful,yes,yes,yes,,,yes,yes,,,,yes,yes,helpful,yes,helpful,yes,4,2,2,2,4,4,4,4,4,4,3,1,4,2,2,2,2,2,3,3,2,2,2,2,2,0,7,7,6,1,10,1,1,3,0,5,Male,Tunisia,3,1,0
,2020-04-13 16:30:13,Arabic,0,0,0,0,0,0,1,3,0,1,1,-1,-1,-1,1,1,1,3,0,0,4,4,3,-2,-2,1,2,2,-2,helpful,helpful,,helpful,yes,yes,yes,,yes,yes,helpful,,helpful,,,,,,,,helpful,,3,4,3,2,4,2,4,1,3,4,1,2,4,3,0,2,3,2,3,2,4,1,0,2,3,1,5,7,6,1,4,1,1,6,0,2,Female,Algeria,2,3,0
